Name,Date,Time,Duplicate,Liveness
Unknown,2025-04-03,05:18:55,Yes,Real
Unknown,2025-04-03,05:18:56,Yes,Real
Sahil,2025-04-03,05:18:57,Yes,Real
Sahil,2025-04-03,05:18:58,Yes,Real
Sahil,2025-04-03,05:18:58,Yes,Real
Sahil,2025-04-03,05:18:59,Yes,Real
Sahil,2025-04-03,05:19:00,Yes,Real
Sahil,2025-04-03,05:19:01,Yes,Real
Sahil,2025-04-03,05:25:35,Yes,Real
Sahil,2025-04-03,05:25:36,Yes,Real
Sahil,2025-04-03,14:01:01,Yes,Real
Sahil,2025-04-03,14:04:23,Yes,Real
Sahil,2025-04-03,14:04:24,Yes,Real
Sahil,2025-04-03,14:04:25,Yes,Real
Sahil,2025-04-03,14:04:26,Yes,Real
Sahil,2025-04-03,14:04:27,Yes,Real
Sahil,2025-04-03,14:04:27,Yes,Real
Sahil,2025-04-03,14:04:28,Yes,Real
Sahil,2025-04-03,14:04:30,Yes,Real
Sahil,2025-04-03,14:06:14,Yes,Real
Sahil,2025-04-03,14:06:15,Yes,Real
Sahil,2025-04-03,14:06:16,Yes,Real
Sahil,2025-04-03,14:06:16,Yes,Real
Sahil,2025-04-03,14:06:18,Yes,Real
Sahil,2025-04-03,14:06:18,Yes,Real
Sahil,2025-04-03,14:06:19,Yes,Real
Sahil,2025-04-03,14:06:20,Yes,Real
Sahil,2025-04-03,14:06:21,Yes,Real
Sahil,2025-04-03,14:09:00,Yes,Real
Sahil,2025-04-03,14:09:02,Yes,Real
Sahil,2025-04-03,14:09:03,Yes,Real
Sahil,2025-04-03,14:09:03,Yes,Real
Sahil,2025-04-03,14:09:04,Yes,Real
Sahil,2025-04-03,14:09:05,Yes,Real
Sahil,2025-04-03,14:09:06,Yes,Real
Sahil,2025-04-03,14:09:07,Yes,Real
Sahil,2025-04-03,14:09:07,Yes,Real
Sahil,2025-04-03,14:09:08,Yes,Real
Sahil,2025-04-03,14:09:09,Yes,Real
Sahil,2025-04-03,14:10:34,Yes,Real
Sahil,2025-04-03,14:10:35,Yes,Real
Sahil,2025-04-03,14:10:37,Yes,Real
Sahil,2025-04-03,14:10:37,Yes,Real
Sahil,2025-04-03,14:10:39,Yes,Real
Sahil,2025-04-03,14:10:39,Yes,Real
Sahil,2025-04-03,14:10:40,Yes,Real
Sahil,2025-04-03,14:10:41,Yes,Real
Sahil,2025-04-03,14:10:43,Yes,Real
Sahil,2025-04-03,14:10:44,Yes,Real
Sahil,2025-04-03,14:10:45,Yes,Real
Sahil,2025-04-03,14:10:46,Yes,Real
Sahil,2025-04-03,14:10:47,Yes,Real
Sahil,2025-04-03,14:10:48,Yes,Real
Sahil,2025-04-03,14:10:49,Yes,Real
Sahil,2025-04-03,14:10:50,Yes,Real
Sahil,2025-04-03,14:10:50,Yes,Real
Sahil,2025-04-03,14:10:51,Yes,Real
Sahil,2025-04-03,14:10:52,Yes,Real
Sahil,2025-04-03,14:10:53,Yes,Real
Sahil,2025-04-03,14:10:53,Yes,Real
Sahil,2025-04-03,14:10:55,Yes,Real
Sahil,2025-04-03,14:12:52,Yes,Fake
Sahil,2025-04-03,14:12:53,Yes,Fake
Sahil,2025-04-03,14:12:55,Yes,Fake
Sahil,2025-04-03,14:12:56,Yes,Fake
Sahil,2025-04-03,14:12:57,Yes,Fake
Sahil,2025-04-03,14:12:58,Yes,Fake
Sahil,2025-04-03,14:12:59,Yes,Fake
Sahil,2025-04-03,14:12:59,Yes,Fake
Sahil,2025-04-03,14:13:00,Yes,Fake
Sahil,2025-04-03,14:13:02,Yes,Fake
Sahil,2025-04-03,14:13:03,Yes,Fake
Sahil,2025-04-03,14:13:04,Yes,Fake
Sahil,2025-04-03,14:13:05,Yes,Fake
Sahil,2025-04-03,14:13:06,Yes,Fake
Sahil,2025-04-03,14:13:07,Yes,Fake
Sahil,2025-04-03,14:13:08,Yes,Fake
Sahil,2025-04-03,14:13:09,Yes,Fake
Sahil,2025-04-03,14:13:10,Yes,Fake
Sahil,2025-04-03,14:13:12,Yes,Fake
Sahil,2025-04-03,14:13:13,Yes,Fake
Sahil,2025-04-03,14:13:14,Yes,Fake
Sahil,2025-04-03,14:13:15,Yes,Fake
Sahil,2025-04-03,14:13:16,Yes,Fake
Sahil,2025-04-03,14:13:16,Yes,Fake
Sahil,2025-04-03,14:36:29,Yes,Real
Sahil,2025-04-03,14:36:30,Yes,Real
Sahil,2025-04-03,14:36:32,Yes,Real
Sahil,2025-04-03,14:36:33,Yes,Real
Sahil,2025-04-03,14:36:35,Yes,Real
Sahil,2025-04-03,14:36:36,Yes,Real
Sahil,2025-04-03,14:36:37,Yes,Real
Sahil,2025-04-03,14:36:38,Yes,Real
Sahil,2025-04-03,14:36:39,Yes,Real
Sahil,2025-04-03,14:36:41,Yes,Real
Sahil,2025-04-03,14:36:42,Yes,Real
Sahil,2025-04-03,14:36:44,Yes,Real
Sahil,2025-04-03,14:36:46,Yes,Real
Sahil,2025-04-03,14:36:46,Yes,Real
Sahil,2025-04-03,14:36:48,Yes,Real
Sahil,2025-04-03,14:36:49,Yes,Real
Sahil,2025-04-03,14:39:37,Yes,Real
Sahil,2025-04-03,14:41:24,Yes,Real
Sahil,2025-04-03,14:41:25,Yes,Real
Sahil,2025-04-03,14:41:27,Yes,Real
Sahil,2025-04-03,14:41:28,Yes,Real
Sahil,2025-04-03,14:41:29,Yes,Real
Sahil,2025-04-03,14:41:30,Yes,Real
Sahil,2025-04-03,14:41:31,Yes,Real
Sahil,2025-04-03,14:41:34,Yes,Real
Sahil,2025-04-03,14:41:35,Yes,Real
Sahil,2025-04-03,14:41:35,Yes,Real
Sahil,2025-04-03,14:41:36,Yes,Real
Sahil,2025-04-03,14:41:37,Yes,Real
Sahil,2025-04-03,14:41:38,Yes,Real
Sahil,2025-04-03,14:41:39,Yes,Real
Sahil,2025-04-03,14:41:40,Yes,Real
Sahil,2025-04-03,14:41:43,Yes,Real
Sahil,2025-04-03,14:41:44,Yes,Real
Sahil,2025-04-03,14:41:45,Yes,Real
Sahil,2025-04-03,14:41:46,Yes,Real
Sahil,2025-04-03,14:41:47,Yes,Real
Sahil,2025-04-03,14:41:48,Yes,Real
Sahil,2025-04-03,15:16:32,Yes,Real
Sahil,2025-04-03,15:16:33,Yes,Real
Sahil,2025-04-03,15:16:34,Yes,Real
Sahil,2025-04-03,15:16:35,Yes,Real
Sahil,2025-04-03,15:16:36,Yes,Real
Sahil,2025-04-03,15:16:36,Yes,Real
Sahil,2025-04-03,15:16:37,Yes,Real
Sahil,2025-04-03,15:16:38,Yes,Real
Sahil,2025-04-03,15:16:39,Yes,Real
Sahil,2025-04-03,15:16:40,Yes,Real
Sahil,2025-04-03,15:16:41,Yes,Real
Sahil,2025-04-03,15:16:41,Yes,Real
Sahil,2025-04-03,15:16:42,Yes,Real
Sahil,2025-04-03,15:16:44,Yes,Real
Sahil,2025-04-03,15:16:45,Yes,Real
Sahil,2025-04-03,15:16:46,Yes,Real
Sahil,2025-04-03,15:16:47,Yes,Real
Sahil,2025-04-03,15:19:36,Yes,Real
Sahil,2025-04-03,15:19:36,Yes,Real
Sahil,2025-04-03,15:19:37,Yes,Real
Sahil,2025-04-03,15:19:38,Yes,Real
Sahil,2025-04-03,15:19:39,Yes,Real
Sahil,2025-04-03,15:23:27,Yes,Real
Sahil,2025-04-03,15:24:41,Yes,Real
Sahil,2025-04-03,15:24:43,Yes,Real
Sahil,2025-04-03,15:24:44,Yes,Real
Sahil,2025-04-03,15:24:44,Yes,Real
Sahil,2025-04-03,15:24:46,Yes,Real
Sahil,2025-04-03,15:24:47,Yes,Real
Sahil,2025-04-03,15:24:48,Yes,Real
Sahil,2025-04-03,15:27:22,Yes,Real
Sahil,2025-04-03,15:27:24,Yes,Real
Sahil,2025-04-03,15:27:25,Yes,Real
Sahil,2025-04-03,15:27:26,Yes,Real
Sahil,2025-04-03,15:27:27,Yes,Real
Sahil,2025-04-03,15:27:28,Yes,Real
Sahil,2025-04-03,15:27:29,Yes,Real
Sahil,2025-04-03,15:27:30,Yes,Real
Sahil,2025-04-03,15:27:31,Yes,Real
Sahil,2025-04-03,15:27:32,Yes,Real
Sahil,2025-04-03,15:34:23,Yes,Real
Sahil,2025-04-03,15:34:24,Yes,Real
Sahil,2025-04-03,15:34:27,Yes,Real
Sahil,2025-04-03,15:34:29,Yes,Real
Sahil,2025-04-03,15:34:30,Yes,Real
Sahil,2025-04-03,16:54:04,Yes,Real
Sahil,2025-04-03,16:54:05,Yes,Real
Sahil,2025-04-03,16:54:07,Yes,Real
Sahil,2025-04-03,16:54:08,Yes,Real
Sahil,2025-04-03,16:54:09,Yes,Real
Sahil,2025-04-03,16:54:11,Yes,Real
Sahil,2025-04-03,17:19:32,Yes,Real
Sahil,2025-04-03,17:19:33,Yes,Real
Sahil,2025-04-03,17:19:34,Yes,Real
Sahil,2025-04-03,17:19:35,Yes,Real
Sahil,2025-04-03,17:19:36,Yes,Real
Sahil,2025-04-03,17:19:37,Yes,Real
Sahil,2025-04-03,17:19:38,Yes,Real
sahil,2025-04-04,00:48:43,Real
Sahil,2025-04-04,00:50:02,,Real
Sahil,2025-04-04,00:50:03,Yes,Real
Sahil,2025-04-04,00:50:04,Yes,Real
Sahil,2025-04-04,00:50:07,Yes,Real
Sahil,2025-04-04,00:50:08,Yes,Real
Sahil,2025-04-04,00:50:08,Yes,Real
Sahil,2025-04-04,00:50:09,Yes,Real
Sahil,2025-04-04,00:50:10,Yes,Real
Sahil,2025-04-04,01:18:29,Yes,Real
Sahil,2025-04-04,01:18:30,Yes,Real
Sahil,2025-04-04,01:18:31,Yes,Real
Sahil,2025-04-04,01:18:32,Yes,Real
Sahil,2025-04-04,01:18:35,Yes,Real
Sahil,2025-04-04,01:18:36,Yes,Real
